Name,URL
"American Federation of Government Employees Local 3197",https://example.org
"Central Phoenix NOW – Inez Casiano",https://example.org
"Communication Workers of America Local 7800",https://example.org
"Downtown Women for Change",https://example.org
"Freedom Socialist Party",https://example.org
"Fuerza Mundial Global",https://example.org
"Gender Justice League",https://example.org
"Georgia NOW",https://example.org
"Her Heart Beats too",
"Metro Justice",https://example.org
"New Mexico Religious Coalition for Reproductive Choice",https://example.org
"Newark Education Workers Caucus",https://example.org
"Oregon Coalition of Black Trade Unionists",https://example.org
"Organized Workers for Labor Solidarity",https://example.org
"Phoenix Democratic Socialists of America",https://example.org
"American Party of LAbor – Pacific NW & IL Chapters",https://example.org
"Raging Grannies Action League",https://example.org
"Seattle NOW",https://example.org
"South Dakota NOW",https://example.org
"Trabajadoras por la Paz",https://example.org
"United Auto Workers Local 4121",https://example.org
"Unitarian Universalists of San Francisco Human Rights Working Group",https://example.org
"Washington Federation of State Employees Local 304",https://example.org
"Washington State Federation of Democratic Women",https://example.org
"Women2Women Phoenix",https://example.org
